Sample,mean_GWC,K_mg_per_kg,SO4.S_mg_per_kg,B_mg_per_kg,Zn_mg_per_kg,Mn_mg_per_kg,Cu_mg_per_kg,Fe_mg_per_kg,Ca_Meq_per_100_g,Mg_Meq_per_100_g,Na_Meq_per_100_g,Total_Bases_Meq_per_100_g,CEC_Meq_per_100_g,Total_Sulfur_pct,Total_Nitrogen_pct,Total_Carbon_pct,C_to_N_ratio,NO3.N_mg_per_g_of_soil_mean,NH4.N_mg_per_g_of_soil_mean,P_Bicarb_mg_per_g_of_soil_mean,pH,B.glucosidase_ug_pNP_per_g_per_hour,Respiration_96_h_ug_CO2.C_per_g_soil_per_day,Respiration_24_h_ug_CO2.C_per_g_soil_per_day,Sand_pct,Silt_pct,Clay_pct,Lat,Long,Elev.m,Soil.Temperature.C,VolWaterContent.m3.m3,Kmeans,NMF1,NMF2,NMF3,NMF4,NMF5
ANZA_BTM,1.0,82.0,4.0,0.2,0.3,1.1,0.1,14.0,3.05,0.42,0.08,3.76,9.38,94.5,0.047,0.151,3.213,0.0009,0.0006,0.0009,9.2,4.5,,3.7,87.0,5.9,7.1,33.305325,-116.254011,191.0,42.7,0.049,0,1.9683425917004005e-10,3.1566672066588404e-10,3.412044966792251e-11,7.584748160856683e-11,1.0
BLAN_BTM,1.166,122.0,19.0,0.27,0.2,15.9,0.5,16.0,4.31,0.57,0.06,5.25,9.3,40.34,0.107,0.514,4.804,0.0003,0.001,0.0011,5.92,6.6,,8.3,25.0,37.8,37.3,39.05941,-78.07207,174.0,19.7,0.174,0,6.79054228905042e-13,3.9893021588613274e-12,1.5865147365432364e-14,1.98745002762451e-13,1.0
CFS1_BTM,1.134,107.0,6.0,0.26,0.3,0.7,0.5,18.0,2.93,1.14,0.06,4.4,5.49,18.6,0.072,0.433,6.014,0.0001,0.0003,0.0238,6.98,4.1,6.85,9.33,48.03,23.99,27.98,35.3828,-78.03818,24.0,18.5,0.0515,0,1.0,2.009438073908164e-09,2.098539018102677e-10,2.9766476867386184e-11,0.6083015430333882
CFS2_BTM,1.088,66.0,2.0,0.06,0.3,2.0,0.3,17.0,1.13,0.32,0.04,1.66,2.3,,0.041,0.223,5.439,0.0002,0.0001,0.0508,6.78,,4.86,6.43,68.06,21.96,9.98,35.38329,-81.434174,24.0,23.0,0.0695,0,1.5509865760454046e-11,0.6531230682145924,3.2369464430477527e-13,3.4753109654947928e-15,1.0
CLBJ_BTM,1.218,144.0,5.0,0.18,0.4,9.6,0.2,21.0,1.42,1.08,0.1,2.97,2.74,22.6,0.064,0.205,3.203,0.0005,0.0018,0.0009,4.94,2.7,,7.1,53.0,33.9,13.2,33.401641,-97.570431,274.0,18.4,0.338,0,1.0,0.43682056398532537,1.2426402486946201e-09,1.0746418660044786e-09,2.180669456282726e-09
DCFS_BTM,1.135,575.0,9.0,0.6,0.3,21.2,0.8,83.0,10.24,4.84,0.07,16.62,18.55,96.81,0.316,2.967,9.389,0.0007,0.002,0.0008,6.22,53.5,,76.2,49.0,27.8,23.3,47.163063,-99.109193,569.0,22.9,0.261,1,1.4374186347475397e-12,0.8923919111826265,8.637313193212152e-13,5.8094357594520615e-12,1.0
DELA_BTM,1.206,42.0,59.0,0.26,0.6,56.2,1.0,133.0,2.16,0.79,0.13,3.19,14.73,122.49,0.143,0.917,6.413,0.0007,0.0014,,,9.0,,12.9,27.0,35.8,37.3,32.542,-87.804,32.0,27.3,0.28,0,1.2468218215831817e-16,4.318110377035061e-14,1.1203339683017478e-17,7.122744467856556e-14,1.0
DSNY_BTM,1.048,30.0,2.0,0.08,0.2,0.3,0.1,4.0,0.43,0.07,0.07,0.65,0.84,48.71,0.039,0.216,5.538,0.0005,0.0012,0.0007,8.01,0.1,,10.8,93.0,1.8,5.2,28.125842,-81.434174,,,,0,0.033182494432011746,0.04956908735774409,3.697900160981719e-10,0.15862980948567199,1.0
FTA3_BTM,,562.0,2.0,0.25,0.2,4.1,0.3,16.0,6.29,2.2,0.04,9.97,10.82,,0.101,0.942,9.327,0.466666667,0.633333333,1.348266667,6.73,168.303689,11.49279313,20.02184824,55.3,28.44,16.25,46.9216469,-120.658644,915.0,12.8,0.075,0,5.694571636364867e-13,1.0,6.047968092127634e-12,5.62041396990703e-12,8.378923573105097e-10
FTA5_BTM,1.203,548.0,3.0,0.21,0.01,3.4,0.7,17.0,6.67,2.33,0.08,10.49,11.21,66.36,0.131,0.759,5.794,0.0055,0.0007,0.008,7.16,46.03,7.81,11.34,56.03,27.98,15.99,46.9045,-120.6241,831.0,12.8,0.075,0,5.4877446754195386e-11,1.0,2.3635535240115284e-12,4.411532962608891e-12,0.0016254239074440194
GRSM_BTM,1.222,239.0,6.0,0.21,0.9,8.3,0.7,48.0,3.83,0.48,0.09,5.01,10.58,84.73,0.107,1.642,15.346,0.0006,0.0021,0.004,5.89,3.8,,27.8,43.0,27.8,29.2,35.689102,-85.502462,,,,0,1.0,3.003436538556659e-10,8.605022386459251e-12,6.012066066505025e-11,0.34056495326893815
ISCC_BTM,1.178,175.0,9.0,0.62,1.7,11.6,2.4,98.0,20.72,6.58,0.06,27.81,35.18,115.14,0.308,3.5,11.364,0.002,0.0025,0.006,6.44,21.2,,43.4,17.0,43.9,39.2,41.3689584,-91.6066851,231.0,31.4,0.147,1,2.349360990670572e-10,1.0402345349699569e-09,1.0,2.3115689094006785e-10,4.878549159257662e-10
ISNC_BTM,1.155,,,,,,,,,,,,,,,,,0.0014,0.0025,0.001,7.04,17.5,,46.3,15.0,46.0,39.0,41.3690394,-91.6065423,231.0,30.4,0.121,1,5.3114551362971695e-11,0.03560454179485675,1.0,4.7449435794959865e-11,0.06755151153222037
JERC_BTM,1.028,48.0,7.0,0.13,0.1,13.4,0.1,12.0,0.47,0.15,0.07,0.81,3.18,51.19,0.053,0.444,8.377,0.0008,0.0014,0.0007,5.97,0.1,,9.2,77.0,12.0,11.1,31.197778,-84.463889,50.0,27.5,0.04,0,5.693067546988842e-13,3.9949810758829764e-13,4.680950884090308e-14,9.396324154706234e-13,1.0
JORN_BTM,1.051,224.0,2.0,0.34,0.1,1.7,0.4,19.0,7.07,0.91,0.04,8.59,7.47,13.3,0.073,0.236,3.233,0.0013,0.0015,0.0007,7.8,6.6,,8.9,78.9,6.1,15.1,32.59092,-106.84286,,,,0,1.3493633652895655e-16,1.1858132350332376e-12,2.3605653719867896e-16,6.078098490860489e-13,1.0
KONA_BTM,1.234,294.0,10.0,0.37,0.9,17.6,2.6,65.0,15.03,3.2,0.2,19.18,53.39,159.07,0.148,1.683,11.372,0.0137,0.0015,0.0046,5.43,13.5,,31.3,16.9,40.0,43.1,39.11012,-96.61216,358.0,26.6,0.297,0,4.869863838341768e-16,1.0823400033724831e-11,3.5269928959068473e-15,3.682993461516623e-16,1.0
KONZ_BTM,1.312,500.0,12.0,0.29,0.4,9.5,1.2,37.0,14.79,4.1,0.14,20.31,34.76,202.66,0.184,2.053,11.158,0.0012,0.0022,0.0009,6.08,16.0,,74.9,18.8,36.1,45.1,39.10091,-96.56277,394.0,30.6,0.362,1,8.576589706849704e-13,1.0,1.0543995806700832e-12,9.09666599676168e-13,1.3688090034990636e-09
LENO_BTM,1.249,104.0,10.0,0.29,1.3,28.8,1.2,82.0,8.55,0.76,0.11,9.69,16.15,86.41,0.121,0.689,5.694,0.0009,0.0019,0.0055,5.22,5.0,,21.9,30.9,34.1,35.1,31.854,-88.161,,,,0,5.212518761848438e-12,1.0,1.7933343083041396e-11,1.0735805312297072e-09,9.763117583119566e-11
MLBS_BTM,1.309,43.0,5.0,0.55,1.2,0.5,0.8,153.0,0.44,0.16,0.09,0.8,25.08,55.74,0.101,1.358,13.446,0.0011,0.0016,0.0037,4.41,11.3,,22.9,76.8,2.1,21.1,37.3779,-80.52435,601.0,16.2,0.452,0,1.351535868600372e-15,1.1092732397121291e-11,8.447516051830288e-17,1.3275838030876982e-17,1.0
MOAB_BTM,1.008,216.0,2.0,0.42,0.3,3.2,0.4,7.0,7.54,1.21,0.05,9.35,7.99,24.2,0.082,0.377,4.598,0.001,0.0022,0.0022,8.54,24.9,,11.0,70.8,14.1,15.2,38.24742,-109.3883,,,,0,0.1700478386409487,0.84074918756683,1.0,2.5492711097412716e-09,0.03663997251302292
NOGP_BTM,1.202,411.0,6.0,0.5,0.4,9.6,0.9,31.0,14.88,5.16,0.06,21.15,33.7,102.04,0.287,2.615,9.111,0.0008,0.0016,0.0011,6.88,22.1,,67.3,28.8,40.1,31.2,46.770404,-100.913635,573.0,33.8,0.093,1,9.484579702191198e-13,1.258967399693321e-10,1.426847925961508e-14,1.4831068111002446e-15,1.0
NWBA_BTM,1.258,78.0,5.0,0.21,4.1,10.4,2.2,51.0,6.83,1.53,0.1,8.66,8.84,121.3,0.089,1.103,12.393,0.0014,0.0008,0.0084,7.12,39.26,23.09,45.82,58.1,23.94,17.96,38.993891,-76.977789,44.0,13.0,0.3155,1,1.033574335451762e-09,1.2864941082468044e-09,4.06821426216653e-11,1.0,0.04502708688565161
NWBB_BTM,1.177,36.0,8.0,0.05,0.3,8.3,0.4,19.0,0.78,0.33,0.06,1.26,4.63,25.55,0.052,0.519,9.981,0.0004,0.0004,0.0467,5.92,4.51,6.15,6.77,72.02,9.99,17.99,38.994073,-76.977954,44.0,17.7,0.2645,0,2.911826391367246e-16,1.7578065561621306e-12,3.401484073846256e-16,3.3589120746140483e-16,1.0
NWBC_BTM,1.241,121.0,23.0,0.14,1.0,1.8,0.7,36.0,1.17,1.18,0.06,2.72,12.3,31.95,0.069,0.747,10.826,0.0004,0.0004,0.003,5.43,,5.09,8.47,48.07,17.97,33.95,38.99425,-76.978175,44.0,16.7,0.3055,0,1.0,3.073429330112544e-10,1.4568136625522594e-10,9.76656032283889e-10,2.0843412080176334e-10
OAES_BTM,1.159,181.0,4.0,0.77,0.3,0.8,0.2,2.0,17.55,3.22,0.11,21.34,17.78,251.59,0.148,1.57,10.608,0.0007,0.0011,0.0008,8.19,4.4,,20.2,23.3,41.9,34.9,35.410599,-99.058779,,,,0,1.3417144189133306e-10,2.770045478366504e-10,1.0,3.886295012382463e-10,1.1820357392146956e-10
OCTB_BTM,1.095,180.0,2.0,0.38,0.2,5.6,1.4,11.0,10.95,5.54,0.3,17.25,19.27,36.75,0.065,0.386,5.938,0.0033,0.0,0.0281,6.79,9.5,1.39,26.4,32.05,49.96,17.99,43.3055054,-116.2432178,963.0,21.6,0.101,0,1.1179552584608993e-11,8.747823359548343e-11,1.4039730344522842e-13,7.860121579593646e-14,1.0
OCTU_BTM,1.085,233.0,1.0,0.32,0.4,10.4,1.7,22.0,9.01,4.53,0.22,14.36,21.39,38.85,0.089,0.542,6.09,0.001,0.0003,0.0532,6.3,87.49,8.18,15.54,28.14,55.89,15.97,43.3055281,-116.2429905,963.0,21.0,0.104,0,0.774758695343218,0.5382689765911649,1.0,2.0816971928279027e-09,0.41734300914459815
