,NMF1,NMF2,NMF3,NMF4,NMF5,Class
C16 H20 O8,0.1693876435670624,0.1986021298583115,0.4651626114948204,0.6368835571059989,0.840241807025417,lignin
C14 H14 O7,0.1914946217986795,0.2474433152808545,0.4796462790726533,0.6436537398183931,0.4506462679288028,lignin
C22 H26 O14,0.2122187155575054,0.6610812592905356,0.4828432885471477,0.6583387186472717,0.559078167862424,lignin
C11 H12 O7,0.3162882611312281,0.6269519363195436,0.4838399129582332,0.6397317029367302,0.579434531047244,lignin
C14 H18 O5 N2,0.2274463995761679,0.4002970481080244,0.4503370179826712,0.6858113433874733,0.5698832317053837,lignin
C23 H30 O12,0.2686670117783125,0.4690237153273835,0.506736342610343,0.6334993287572401,0.5643709594428604,lignin
C23 H26 O10,0.3314625954446265,0.4823686278895052,0.5015903513329742,0.6880753438243763,0.6202384711255152,lignin
C21 H22 O9,0.3134548657986912,0.5185790629805934,0.4939661626563584,0.6790739549577387,0.63657597453036,lignin
C23 H30 O11,0.335386403649781,0.5269276917569773,0.4885387397271083,0.6738794910575169,0.696971690125869,lignin
C22 H30 O10,0.3077216760403518,0.4711060324456192,0.4968850018406807,0.6233619123041051,0.7417697140697256,lignin
C17 H22 O7,0.4294916269015162,0.4965725434586596,0.4829720327892533,0.6767082524134778,0.8283857208736636,lignin
C21 H28 O9,0.4476103890561069,0.4484400174419464,0.4907004259497483,0.6818536797884809,0.7696440925150341,lignin
C17 H20 O7,0.4587971960797534,0.4553039680106734,0.4903528522914964,0.680405686077194,0.7305665027572791,lignin
C24 H30 O11,0.4561914762499635,0.4545945454393552,0.4899066025551894,0.6783092418537188,0.7298469689102093,lignin
C23 H30 O10,0.4671708956869493,0.4561918106398444,0.4964730361750241,0.6797846747758681,0.6901319155218006,lignin
C18 H22 O7,0.4766741062371466,0.4617369710781167,0.4965378259094665,0.6856255976326511,0.652161351962658,lignin
C22 H26 O9,0.4851727393325385,0.4662689690807117,0.5024124928926178,0.6872058306375783,0.609789118624866,lignin
C19 H20 O8,0.4692671634016814,0.5054629795651595,0.4918030048436789,0.6763471169930945,0.6249152199179475,lignin
C14 H16 O7,0.4097752539721485,0.6463321623964746,0.4687825241285084,0.64289230171696,0.6938183651170463,lignin
C14 H14 O8,0.4115868646914218,0.6907821337657188,0.4653627477401945,0.6438098335227671,0.6755886012506822,lignin
C15 H14 O9,0.4211371632443874,0.7088089059323825,0.4610807786795399,0.6414862191874259,0.669096869253518,lignin
C18 H18 O8,0.425574606381867,0.6980730151752645,0.4693370351644792,0.6468945761619996,0.6347972703431273,lignin
C16 H22 O10,0.4273074949773632,0.6666495155264813,0.4708491933618403,0.6489966852548142,0.6509624484148503,lignin
C16 H18 O7,0.4611634183124842,0.5761436717675041,0.4849278554971763,0.6539087908239031,0.5871588279163795,lignin
C15 H16 O7,0.4468674505783859,0.6435125069166894,0.477673513192924,0.6457989992831284,0.5818831435149265,lignin
C14 H14 O9,0.4410881997364875,0.7021566735367627,0.4690353592063787,0.64024021347352,0.5965321609803239,lignin
C15 H14 O8,0.4365972065192638,0.7053283893063003,0.4669446672599693,0.644644737898445,0.5871556203203201,lignin
C16 H14 O10,0.4559143583443096,0.7086687244821561,0.4712100511031516,0.6358189599813272,0.5369604288828761,lignin
C13 H14 O8,0.4006900496337605,0.6942836173594281,0.4726608002458907,0.6500940766621457,0.5362601037432425,lignin
C12 H14 O7,0.4002544856081531,0.6454309442879553,0.4787225978002831,0.6563990762368379,0.5408350205780191,lignin
