Sample,mean_GWC,K_mg_per_kg,SO4.S_mg_per_kg,B_mg_per_kg,Zn_mg_per_kg,Mn_mg_per_kg,Cu_mg_per_kg,Fe_mg_per_kg,Ca_Meq_per_100_g,Mg_Meq_per_100_g,Na_Meq_per_100_g,Total_Bases_Meq_per_100_g,CEC_Meq_per_100_g,Total_Sulfur_pct,Total_Nitrogen_pct,Total_Carbon_pct,C_to_N_ratio,NO3.N_mg_per_g_of_soil_mean,NH4.N_mg_per_g_of_soil_mean,P_Bicarb_mg_per_g_of_soil_mean,pH,B.glucosidase_ug_pNP_per_g_per_hour,Respiration_96_h_ug_CO2.C_per_g_soil_per_day,Respiration_24_h_ug_CO2.C_per_g_soil_per_day,Sand_pct,Silt_pct,Clay_pct,Lat,Long,Elev.m,Soil.Temperature.C,VolWaterContent.m3.m3,Kmeans
ANZA_TOP,1.002,107.0,4.0,0.25,0.2,1.9,0.1,13.0,3.27,0.26,0.1,3.9,5.62,101.84,0.059,0.209,3.542,0.0039,0.0012,0.002,8.75,30.0,,11.4,83.1,9.9,7.1,33.305325,-116.254011,191.0,42.7,0.049,0
BLAN_TOP,1.157,189.0,10.0,0.42,0.7,28.3,0.7,54.0,5.47,0.81,0.05,6.81,11.9,63.54,0.196,1.676,8.551,0.001,0.0022,0.0024,6.5,49.4,,52.4,25.0,45.8,29.3,39.05941,-78.07207,174.0,19.7,0.174,0
CFS1_TOP,1.112,231.0,,,,,,,2.41,0.68,0.08,3.76,5.55,92.27,0.14,1.212,8.657,0.0083,0.0214,0.1453,6.66,124.07,35.97,81.07,68.1,19.94,11.96,35.3828,-78.03818,24.0,18.5,0.0515,0
CFS2_TOP,1.106,134.0,4.0,0.11,3.6,5.1,2.2,48.0,1.76,0.5,0.05,2.65,4.06,37.81,0.114,1.019,8.939,0.0036,0.0008,0.1497,6.66,72.6,14.34,24.84,84.01,6.0,10.0,35.38329,-81.434174,24.0,23.0,0.0695,0
CLBJ_TOP,1.278,156.0,6.0,0.4,1.6,5.9,0.2,12.0,9.02,1.04,0.07,10.53,2.04,198.71,0.172,1.549,9.006,0.0008,0.0042,0.0034,7.28,12.6,,24.6,49.0,37.9,13.2,33.401641,-97.570431,274.0,18.4,0.338,0
CPER_TOP,1.032,232.0,6.0,0.32,0.7,13.9,0.7,31.0,5.97,1.35,0.06,7.97,9.61,73.59,0.163,1.182,7.252,0.0083,0.0046,0.0558,6.18,40.8,,21.9,69.1,17.8,13.2,40.81909,-104.748961,1641.0,32.9,0.047,0
DCFS_TOP,1.337,820.0,22.0,1.09,16.5,31.9,1.6,199.0,20.64,7.81,0.07,30.62,39.78,266.55,0.962,10.643,11.063,0.0021,0.0051,0.0025,6.37,339.7,,198.6,45.0,35.8,19.3,47.163063,-99.109193,569.0,22.9,0.261,1
DELA_TOP,1.241,86.0,42.0,0.53,3.5,105.6,2.5,241.0,4.36,1.48,0.11,6.17,24.43,178.55,0.289,2.378,8.228,0.0006,0.0026,,,12.8,,95.9,23.0,39.8,37.2,32.542,-87.804,32.0,27.3,0.28,0
DSNY_TOP,1.072,57.0,2.0,0.12,0.1,0.7,0.2,22.0,1.02,0.13,0.09,1.39,8.95,104.46,0.093,1.33,14.301,0.0007,0.0015,0.0015,5.08,7.7,,16.9,88.9,6.0,5.2,28.125842,-81.434174,,,,0
FTA3_TOP,,517.0,5.0,0.29,1.4,8.4,0.4,28.0,7.85,2.3,0.04,11.52,11.43,,0.166,1.804,10.867,2.266666667,0.933333333,4.7503,6.62,298.7029857,28.98071963,48.67260047,60.06,23.97,15.98,46.9216469,-120.658644,915.0,12.8,0.075,0
FTA5_TOP,1.195,1218.0,5.0,0.77,1.6,13.3,0.7,33.0,6.53,1.86,0.09,11.6,13.8,108.37,0.192,1.477,7.693,0.0015,0.0201,0.0345,7.34,51.19,14.44,24.08,64.06,21.96,13.98,46.9045,-120.6241,831.0,12.8,0.075,0
GRSM_TOP,1.349,205.0,10.0,0.31,11.0,31.4,3.4,84.0,6.7,0.71,0.06,8.0,17.34,289.86,0.37,4.765,12.878,0.0024,0.0059,0.0305,6.21,68.2,,133.2,55.0,31.8,13.3,35.689102,-85.502462,,,,0
ISCC_TOP,1.14,237.0,10.0,0.68,2.1,9.4,1.9,55.0,20.89,6.57,0.06,28.13,35.19,117.85,0.378,4.392,11.619,0.0059,0.003,0.025,6.84,53.8,,72.6,17.1,43.8,39.2,41.3689584,-91.6066851,231.0,31.4,0.147,0
ISNC_TOP,1.131,,,,,,,,,,,,,,,,,0.0024,0.0024,0.0156,6.95,39.1,,116.9,14.9,50.0,35.2,41.3690394,-91.6065423,231.0,30.4,0.121,0
JERC_TOP,1.031,66.0,4.0,0.15,0.2,25.7,0.1,14.0,1.93,0.55,0.08,2.73,5.49,72.87,0.104,1.8,17.308,0.0006,0.0019,0.0029,6.29,5.9,,48.8,75.0,14.1,11.0,31.197778,-84.463889,50.0,27.5,0.04,0
JORN_TOP,1.034,217.0,2.0,0.11,0.2,2.2,0.8,9.0,4.68,0.97,0.04,6.25,5.37,13.48,0.067,0.3,4.478,0.0018,0.0018,0.0014,8.52,19.7,,9.6,79.0,7.9,13.1,32.59092,-106.84286,,,,0
KONA_TOP,1.248,409.0,12.0,0.32,1.4,52.4,3.3,82.0,11.64,2.32,0.17,15.18,19.36,197.28,0.188,2.061,10.963,0.02,0.0031,0.0166,5.04,36.2,,80.9,21.0,42.0,37.1,39.11012,-96.61216,358.0,26.6,0.297,0
KONZ_TOP,1.409,592.0,11.0,0.46,4.5,24.5,0.9,55.0,15.73,3.42,0.09,20.76,26.0,280.41,0.396,4.774,12.056,0.001,0.0033,0.0056,6.41,50.1,,361.2,18.9,48.0,33.1,39.10091,-96.56277,394.0,30.6,0.362,1
LENO_TOP,1.341,169.0,7.0,0.38,4.2,35.4,0.8,105.0,9.91,1.86,0.1,12.3,16.01,157.1,0.227,2.089,9.203,0.0009,0.0062,0.0066,5.91,26.3,,90.0,44.8,28.1,27.1,31.854,-88.161,,,,0
MLBS_TOP,1.548,76.0,18.0,0.66,2.8,2.2,0.4,299.0,0.69,0.37,0.09,1.34,8.55,243.13,0.413,7.272,17.608,0.0011,0.0057,0.0076,3.89,19.3,,31.3,66.8,18.2,15.1,37.3779,-80.52435,601.0,16.2,0.452,0
MOAB_TOP,1.007,212.0,2.0,0.37,0.4,4.3,0.3,5.0,9.12,1.14,0.05,10.85,9.54,54.12,0.079,0.47,5.949,0.0014,0.0023,0.0032,8.57,34.5,,13.0,68.7,16.2,15.2,38.24742,-109.3883,,,,0
NOGP_TOP,1.18,824.0,15.0,0.52,4.5,98.5,3.7,62.0,14.06,4.25,0.05,20.47,31.31,135.24,0.448,4.485,10.011,0.0024,0.0034,0.0027,6.37,66.7,,174.5,26.8,46.1,27.1,46.770404,-100.913635,573.0,33.8,0.093,1
NWBA_TOP,1.32,48.0,6.0,0.23,14.0,18.3,3.7,36.0,4.89,1.03,0.05,6.09,8.43,178.39,0.196,2.846,14.52,0.0027,0.0008,0.0117,7.15,77.85,54.97,117.12,78.02,11.99,9.99,38.993891,-76.977789,44.0,13.0,0.3155,0
NWBB_TOP,1.272,84.0,25.0,0.11,1.6,51.2,1.0,49.0,1.18,0.44,0.07,1.91,8.25,118.11,0.174,2.08,11.954,0.0015,0.0015,0.0207,6.01,16.15,32.93,49.92,68.89,16.59,14.52,38.994073,-76.977954,44.0,17.7,0.2645,0
NWBC_TOP,1.389,238.0,14.0,0.25,5.6,62.7,1.3,64.0,6.43,2.3,0.06,9.4,24.83,252.91,0.415,4.954,11.937,0.0028,0.0014,0.0097,5.89,197.14,108.19,200.02,52.01,29.99,18.0,38.99425,-76.978175,44.0,16.7,0.3055,1
OAES_TOP,1.138,325.0,8.0,0.94,0.8,2.0,0.3,2.0,16.24,2.6,0.09,19.76,19.11,297.32,0.222,2.647,11.923,0.0008,0.0015,0.0013,8.3,35.6,,27.8,26.8,42.1,31.1,35.410599,-99.058779,,,,0
OCTB_TOP,1.095,662.0,2.0,0.51,0.9,8.1,1.3,21.0,7.91,3.78,0.11,13.5,15.62,53.78,0.111,0.849,7.649,0.0015,0.0012,0.0588,6.54,73.7,12.48,34.2,28.16,57.87,13.97,43.3055054,-116.2432178,963.0,21.6,0.101,0
OCTU_TOP,1.087,604.0,2.0,0.41,1.0,11.6,1.4,27.0,7.63,3.54,0.1,12.82,15.0,65.6,0.131,1.039,7.931,0.0016,0.0,0.0837,5.98,100.22,10.86,22.34,28.07,57.94,13.99,43.3055281,-116.2429905,963.0,21.0,0.104,0
OKPF_TOP,,98.0,2.0,0.36,1.2,1.1,0.1,35.0,0.9,0.84,0.2,2.19,6.61,374.51,0.742,16.945,22.837,0.0,0.0,1.666666667,3.72,95.56,83.1,228.65,69.11,22.07,8.83,41.551919,-70.635356,1.0,6.5,0.2175,1
ONAQ_TOP,1.035,395.0,5.0,0.67,0.5,3.1,0.9,5.0,14.62,1.19,0.12,16.94,9.27,343.18,0.069,2.076,30.087,0.001,0.0009,0.0057,8.56,15.5,,12.0,37.3,37.8,25.0,40.17647,-112.4546,1627.0,37.1,0.05,0
ORNL_TOP,1.187,109.0,15.0,0.17,1.3,62.5,1.7,24.0,1.35,0.42,0.09,2.14,9.3,159.79,0.242,3.761,15.541,0.0004,0.0015,0.0017,4.94,35.8,,331.1,37.3,39.8,23.0,35.96337,-84.28182,310.0,23.2,0.382,1
OSBS_TOP,1.062,92.0,2.0,0.14,0.2,2.3,0.1,33.0,1.59,0.5,0.1,2.43,1.7,30.12,0.058,0.818,14.103,0.0004,0.001,0.0017,5.08,7.2,,15.2,91.3,1.9,6.9,29.691389,-81.988611,40.0,26.0,0.097,0
PETF_TOP,,56.0,10.0,0.2,1.0,6.1,0.5,95.0,3.61,0.95,0.09,4.79,7.79,152.63,0.219,2.192,10.009,0.4,1.166666667,6.666666667,5.81,98.85,52.99,91.71,42.01,39.99,18.0,41.553175,-70.639839,1.0,6.6,0.419,0
PHTU_TOP,1.168,34.0,6.0,0.11,0.4,1.7,0.5,35.0,4.32,0.46,0.04,4.91,5.89,72.86,0.127,1.701,13.394,0.0006,0.0008,0.0078,7.09,92.52,21.81,44.83,88.03,3.99,7.98,39.982739,-75.154164,20.0,19.1,0.345,0
PPRH_TOP,1.36,115.0,3.0,0.08,0.6,2.0,0.7,48.0,11.41,2.07,0.08,13.85,9.43,240.2,0.283,3.02,10.671,0.0016,0.0012,0.019,6.42,119.53,2.74,7.53,26.03,55.98,17.99,40.050291,-75.033307,31.0,16.5,0.4505,0
PRS1_TOP,1.129,598.0,8.0,0.51,4.6,3.9,2.5,16.0,11.13,1.74,0.15,14.55,25.99,116.67,0.089,0.854,9.596,0.333333333,0.433333333,0.0,7.75,50.14,15.54,26.5,58.02,31.99,10.0,46.251743,-119.728729,300.0,3.6,0.177,0
PRS2_TOP,1.138,1498.0,11.0,0.76,1.4,4.8,0.6,15.0,9.98,2.49,0.09,16.4,13.23,188.92,0.18,1.728,9.6,1.233333333,0.566666667,0.0,8.09,188.76,34.88,50.29,56.1,31.93,11.97,46.251755,-119.728843,300.0,3.4,0.194,0
RMNP_TOP,1.052,86.0,2.0,0.26,0.3,1.1,0.1,71.0,2.96,0.53,0.05,3.76,6.21,31.03,0.08,0.797,9.962,0.0015,0.0015,0.0359,5.55,56.3,,67.7,67.2,23.8,9.1,40.20332,-105.480967,2585.0,31.6,0.045,0
SCBI_TOP,1.319,240.0,13.0,0.58,6.0,42.9,3.2,96.0,10.73,2.95,0.06,14.36,21.73,73.1,0.431,4.036,9.364,0.0017,0.0049,0.0037,6.72,51.0,,727.1,27.1,39.8,33.1,38.8896,-78.13865,312.0,22.1,0.23,2
SERC_TOP,1.551,194.0,23.0,0.36,4.5,35.5,1.7,153.0,3.55,1.44,0.13,5.62,19.03,230.41,0.27,3.959,14.663,0.0005,0.0031,0.0192,5.34,75.4,,443.7,39.1,37.8,23.1,38.8912,-76.56173,24.0,22.3,0.466,1
SJER_TOP,1.01,460.0,5.0,0.47,2.7,20.3,0.3,75.0,5.85,0.79,0.11,7.93,12.82,164.38,0.281,2.852,10.149,0.0019,0.0032,0.0228,6.72,380.4,,81.4,63.1,24.0,13.0,37.111218,-119.736475,383.0,31.8,0.027,0
SOAP_TOP,1.147,322.0,5.0,0.31,0.9,10.0,0.2,39.0,4.1,0.75,0.1,5.78,3.46,164.02,0.229,4.303,18.79,0.0004,0.003,0.019,5.93,159.1,,226.4,61.1,27.9,11.1,37.033662,-119.263687,1169.0,25.7,0.042,1
SRER_TOP,1.001,199.0,2.0,0.36,0.5,2.4,2.9,3.0,13.11,0.53,0.08,14.23,6.42,378.0,0.032,2.434,76.062,,,,8.57,30.6,,24.0,65.2,23.9,11.0,31.9114,-110.8359,,,,0
SRR1_TOP,1.002,122.0,6.0,0.16,1.3,20.3,0.9,14.0,1.55,0.51,0.08,2.45,2.87,107.77,0.065,0.339,5.215,0.0009,0.0008,0.0027,7.75,11.4,,47.8,73.0,12.0,15.1,31.799945,-110.87298,1160.0,37.8,0.025,0
STER_TOP,1.039,,,,,,,,,,,,,,,,,0.0081,0.0016,0.0042,8.41,56.2,,18.0,57.0,20.0,23.1,40.462975,-103.030463,1366.0,39.0,0.056,0
TALL_TOP,1.111,71.0,7.0,0.2,0.5,10.4,0.1,49.0,1.01,0.18,0.1,1.47,5.04,75.1,0.102,2.578,25.275,,,,6.17,14.1,,69.1,66.9,20.1,13.0,32.950693,-87.392825,,,,0
TEAK_TOP,1.133,75.0,2.0,0.14,0.1,4.8,0.1,18.0,0.78,0.2,0.08,1.25,7.34,94.8,0.136,2.797,20.566,0.0007,0.0017,0.041,6.82,26.7,,20.3,74.9,18.1,7.0,37.00583,-119.00602,,,,0
UKFS_TOP,1.296,382.0,12.0,0.95,4.8,14.8,0.7,50.0,18.83,2.42,0.13,22.36,24.16,297.39,0.413,4.576,11.08,0.0044,0.004,0.0036,6.94,86.0,,185.7,16.9,50.1,33.1,39.0407,-95.19161,274.0,25.9,0.335,1
UT12_TOP,1.576,323.0,27.0,1.0,1.2,34.1,2.7,311.0,24.93,5.72,0.19,31.67,54.47,213.55,0.674,9.547,14.165,0.0009,0.0053,0.0011,6.05,416.1,,508.8,30.8,22.1,47.1,40.84693464,-109.7125711,2473.0,32.1,0.423,2
UT19_TOP,1.13,271.0,6.0,0.64,1.0,11.7,0.4,64.0,16.89,4.97,0.07,22.62,31.5,43.38,0.203,3.938,19.399,0.0004,0.0021,0.0023,7.35,93.9,,216.3,30.8,34.2,35.1,40.70183709,-109.5818412,2610.0,19.5,0.111,1
UT23_TOP,1.532,,,,,,,,,,,,,,,,,0.0024,0.0118,0.0008,6.76,2648.6,,736.5,61.0,28.1,11.0,40.68529298,-109.4999502,2502.0,26.8,0.108,2
UT24_TOP,1.121,411.0,7.0,0.62,1.4,57.9,0.3,60.0,21.41,2.94,0.08,25.48,37.37,111.32,0.314,6.886,21.93,0.0009,0.003,0.0018,6.32,281.6,,733.2,45.1,28.0,27.0,40.68204,-109.647218,2746.0,25.8,0.147,2
UT32_TOP,1.028,,,,,,,,,,,,,,,,,0.0019,0.0015,0.0081,6.54,102.8,,34.8,65.0,20.1,15.0,40.6195637,-109.61135,2362.0,39.0,0.082,0
WLLO_TOP,1.303,49.0,4.0,0.23,0.01,0.7,1.0,7.0,10.79,3.53,0.07,14.52,12.8,129.85,0.188,2.513,13.367,0.0004,0.0023,0.0087,7.58,87.2,36.9,114.1,60.02,23.99,15.99,39.290382,-76.744543,139.0,12.8,0.388,0
WLUP_TOP,1.481,117.0,6.0,0.84,0.6,5.6,0.7,4.0,13.88,3.31,5.81,23.3,21.94,460.22,0.356,5.589,15.699,0.0021,0.0012,0.0197,7.68,95.09,74.65,88.49,40.34,39.09,20.57,39.290308,-76.74376,139.0,13.9,0.422,0
WSU1_TOP,1.227,38.0,4.0,0.07,0.3,1.0,0.3,12.0,1.3,0.2,0.03,1.63,10.77,,0.123,3.237,26.317,0.0015,0.0037,0.0074,6.51,62.66500428,11.20933608,21.73528572,74.93,16.72,8.36,44.6464,-121.7101,,,,0
WSU2_TOP,1.222,79.0,5.0,0.08,0.4,22.5,0.2,15.0,2.68,0.39,0.07,3.34,11.24,,0.103,5.132,49.825,0.0012,0.0142,0.0034,6.37,127.1468625,24.2729164,41.88991573,73.64,18.25,8.11,44.6542,-121.7196,,,,0
WSU3_TOP,1.424,150.0,11.0,0.07,1.3,17.1,0.2,76.0,2.6,0.48,0.06,3.52,34.39,,0.201,6.929,34.473,0.0012,0.0016,0.0033,6.22,215.8057237,71.6651805,112.1818138,67.49,24.38,8.13,44.6663,-121.7191,,,,0
WY01_TOP,,,,,,,,,,,,,,,,,,,,,7.28,182.7,,406.9,54.9,28.1,17.1,44.942634,-109.712562,2274.0,15.4,0.133,1
WY03_TOP,,398.0,17.0,1.09,9.7,3.6,1.1,109.0,34.83,6.79,0.97,43.61,48.93,732.62,0.903,11.222,12.427,,,,6.68,523.9,,667.0,46.8,34.1,19.2,44.016047,-109.143313,2440.0,22.6,0.241,2
