,NMF1,NMF2,NMF3,NMF4,NMF5,NMF6,NMF7,Class
C34 H29 O12 S1 N2 P1,3.577726848801236e-06,0.1109387879561067,1.8492174467358817e-06,3.086014032624942e-06,2.5105070760420363e-06,0.6535977906288842,4.282405132853128e-06,lignin
C35 H28 O20,3.577726848801236e-06,2.5669726331038952e-06,1.8492174467358817e-06,3.086014032624942e-06,2.5105070760420363e-06,0.570068653544151,4.282405132853128e-06,lignin
C36 H30 O20,3.577726848801236e-06,2.5669726331038952e-06,1.8492174467358817e-06,3.086014032624942e-06,2.5105070760420363e-06,0.5181234420724611,4.282405132853128e-06,lignin
C34 H28 O16,3.577726848801236e-06,2.5669726331038952e-06,1.8492174467358817e-06,3.086014032624942e-06,2.5105070760420363e-06,0.5100795748247537,4.282405132853128e-06,lignin
C36 H32 O19,3.577726848801236e-06,2.5669726331038952e-06,1.8492174467358817e-06,3.086014032624942e-06,2.5105070760420363e-06,0.5052777873356598,4.282405132853128e-06,lignin
C31 H26 O15,0.2875060814151592,2.5669726331038952e-06,1.8492174467358817e-06,3.086014032624942e-06,2.5105070760420363e-06,0.5314380798421914,0.1260315383257743,lignin
C37 H35 O10 S1 N2 P1,0.149387262536718,2.5669726331038952e-06,1.8492174467358817e-06,3.086014032624942e-06,2.5105070760420363e-06,0.5152671311346833,4.282405132853128e-06,lignin
C33 H32 O19,0.1066709253077979,2.5669726331038952e-06,1.8492174467358817e-06,3.086014032624942e-06,2.5105070760420363e-06,0.6426465716212405,0.1679426905157428,lignin
C31 H26 O14,0.2284591638598827,2.5669726331038952e-06,1.8492174467358817e-06,3.086014032624942e-06,2.5105070760420363e-06,0.7346369464240811,4.282405132853128e-06,lignin
C32 H26 O15,0.2512736310919035,2.5669726331038952e-06,1.8492174467358817e-06,3.086014032624942e-06,2.5105070760420363e-06,0.8826897910351318,4.282405132853128e-06,lignin
C32 H30 O15,0.358421571621335,2.5669726331038952e-06,1.8492174467358817e-06,3.086014032624942e-06,2.5105070760420363e-06,0.8108601251737181,4.282405132853128e-06,lignin
C29 H24 O13,0.4310635355286086,2.5669726331038952e-06,1.8492174467358817e-06,3.086014032624942e-06,2.5105070760420363e-06,0.7014749134359091,4.282405132853128e-06,lignin
C33 H32 O15,0.5284240663069614,2.5669726331038952e-06,1.8492174467358817e-06,3.086014032624942e-06,2.5105070760420363e-06,0.7969603890994684,4.282405132853128e-06,lignin
C28 H34 O18,0.3672212803256001,0.1611893070262515,1.8492174467358817e-06,3.086014032624942e-06,2.5105070760420363e-06,0.6234284026686345,4.282405132853128e-06,lignin
C28 H36 O17,0.336121548898179,0.2261707134096901,1.8492174467358817e-06,3.086014032624942e-06,2.5105070760420363e-06,0.7014974192159443,0.099134299173843,lignin
C32 H36 O18,0.3632130155428547,0.1451081489406928,1.8492174467358817e-06,3.086014032624942e-06,2.5105070760420363e-06,0.6289416950605062,0.2453981980255442,lignin
C28 H26 O11,0.4130247347494673,2.5669726331038952e-06,1.8492174467358817e-06,0.2297313956141612,2.5105070760420363e-06,0.8236580136013916,4.282405132853128e-06,lignin
C27 H22 O11,0.4227684132286939,2.5669726331038952e-06,1.8492174467358817e-06,0.226691168276241,2.5105070760420363e-06,0.7008948048655314,0.1217815881543206,lignin
C32 H42 O15,0.3586657060041348,2.5669726331038952e-06,1.8492174467358817e-06,0.3434612751784715,2.5105070760420363e-06,0.6124045206575514,4.282405132853128e-06,lignin
C29 H26 O12,0.3303962858983551,2.5669726331038952e-06,1.8492174467358817e-06,0.2280848688517079,2.5105070760420363e-06,0.5760572700894233,4.282405132853128e-06,lignin
C24 H20 O9,0.4916774190528081,2.5669726331038952e-06,1.8492174467358817e-06,0.2246138389978042,2.5105070760420363e-06,0.54712653165347,4.282405132853128e-06,lignin
C34 H32 O16,0.2254007657091371,2.5669726331038952e-06,1.8492174467358817e-06,0.3534343383023054,2.5105070760420363e-06,0.844152566942741,0.1514545641261336,lignin
C30 H34 O13,0.3008336535341709,2.5669726331038952e-06,1.8492174467358817e-06,0.4307160606171953,2.5105070760420363e-06,0.7326931850938762,4.282405132853128e-06,lignin
C22 H22 O7,0.3954097874502638,2.5669726331038952e-06,1.8492174467358817e-06,0.4524798665222896,2.5105070760420363e-06,0.7722491465735444,0.0130517903784681,lignin
C15 H22 O7 S1,0.149269550466833,2.5669726331038952e-06,0.033168131609426,0.3692014230848152,2.5105070760420363e-06,0.6089307301197298,4.282405132853128e-06,lignin
C34 H42 O17,0.2318054276652803,0.1733988956746762,1.8492174467358817e-06,0.5206079804464953,2.5105070760420363e-06,0.5846093625500286,4.282405132853128e-06,lignin
C31 H42 O15,0.5240350041034922,2.5669726331038952e-06,1.8492174467358817e-06,0.8272906816160734,2.5105070760420363e-06,0.2935963467245669,4.282405132853128e-06,lignin
C31 H38 O12,0.4910628405097333,2.5669726331038952e-06,1.8492174467358817e-06,0.8251822594042042,2.5105070760420363e-06,0.441650672662941,4.282405132853128e-06,lignin
C33 H42 O15,0.5355252326062524,2.5669726331038952e-06,1.8492174467358817e-06,0.7735072027489102,2.5105070760420363e-06,0.4997607526431817,4.282405132853128e-06,lignin
C30 H44 O13,0.6131186883373312,2.5669726331038952e-06,1.8492174467358817e-06,0.8204128113319359,2.5105070760420363e-06,0.5016628289027439,0.1125196668625045,lignin
C31 H44 O14,0.7024518861479857,2.5669726331038952e-06,1.8492174467358817e-06,0.8115332743909603,2.5105070760420363e-06,0.4386643687554906,4.282405132853128e-06,lignin
C14 H12 O4,0.510253283964186,2.5669726331038952e-06,1.8492174467358817e-06,0.4567373113235435,2.5105070760420363e-06,0.3961994442475694,4.282405132853128e-06,lignin
C31 H30 O13,0.5289966016097789,2.5669726331038952e-06,1.8492174467358817e-06,0.4850358878606988,2.5105070760420363e-06,0.2998741079680753,4.282405132853128e-06,lignin
C30 H30 O12,0.5537463858118199,2.5669726331038952e-06,1.8492174467358817e-06,0.6035675559283431,2.5105070760420363e-06,0.3394931687940779,4.282405132853128e-06,lignin
C30 H32 O12,0.4623506384630648,2.5669726331038952e-06,1.8492174467358817e-06,0.6436392212651018,2.5105070760420363e-06,0.371381780048153,4.282405132853128e-06,lignin
C19 H20 O5,0.5149093252447061,2.5669726331038952e-06,1.8492174467358817e-06,0.6356708868377507,2.5105070760420363e-06,0.4422311970444973,4.282405132853128e-06,lignin
