Sample,Respiratio
ANZA_TOP,11.4
BLAN_TOP,52.4
CFS1_TOP,81.07
CFS2_TOP,24.84
CLBJ_TOP,24.6
CPER_TOP,21.9
DCFS_TOP,198.6
DELA_TOP,95.9
DSNY_TOP,16.9
FTA3_TOP,48.67260047
FTA5_TOP,24.08
GRSM_TOP,133.2
ISCC_TOP,72.6
ISNC_TOP,116.9
JERC_TOP,48.8
JORN_TOP,9.6
KONA_TOP,80.9
KONZ_TOP,361.2
LENO_TOP,90.0
MLBS_TOP,31.3
MOAB_TOP,13.0
NOGP_TOP,174.5
NWBA_TOP,117.12
NWBB_TOP,49.92
NWBC_TOP,200.02
OAES_TOP,27.8
OCTB_TOP,34.2
OCTU_TOP,22.34
OKPF_TOP,228.65
ONAQ_TOP,12.0
ORNL_TOP,331.1
OSBS_TOP,15.2
PETF_TOP,91.71
PHTU_TOP,44.83
PPRH_TOP,7.53
PRS1_TOP,26.5
PRS2_TOP,50.29
RMNP_TOP,67.7
SCBI_TOP,727.1
SERC_TOP,443.7
SJER_TOP,81.4
SOAP_TOP,226.4
SRER_TOP,24.0
SRR1_TOP,47.8
STER_TOP,18.0
TALL_TOP,69.1
TEAK_TOP,20.3
UKFS_TOP,185.7
UT12_TOP,508.8
UT19_TOP,216.3
UT23_TOP,736.5
UT24_TOP,733.2
UT32_TOP,34.8
WLLO_TOP,114.1
WLUP_TOP,88.49
WSU1_TOP,21.73528572
WSU2_TOP,41.88991573
WSU3_TOP,112.1818138
WY01_TOP,406.9
WY03_TOP,667.0
WY09_TOP,324.3
WY10_TOP,196.1
WY15_TOP,412.5
